ServiceCode,VehicleCapable,ServiceEnabled
RDL,True,False
RDU,True,False
ROSECUREDELIVERY,True,False
SQDF,True,True
VHSG,False,False
SDV,True,False
ASSIST,False,False
ROC,True,True
SOS,True,True
ASOS,True,True
VF,True,False
SVLA,True,False
ROCRANKINHIBITON,False,False
ROCRANKINHIBITOFF,False,False
ROLIGHTS,False,False
TA,True,False
VRC,True,True
DTC,True,False
HUC,True,True
AOTAC,True,True
UBI,True,True
WIFIHOTSPOT,True,True
IVA,False,False
IVAD,False,False
IVM,False,False
IVMD,False,False
SVCSUBMSSG,False,False
CONTIMAIN,False,False
FTD,True,True
IPCS,True,True
CALLMAN,False,False
PARENT,True,False
BCALL,True,True
ECALL,False,False
SVLAAPP,True,False
FOTA,True,False
NAV_OB_TRAFFIC,True,False
NAV_OB_WEATHER,True,False
NAV_OB_SPEED_CAMERA,True,False
NAV_OB_SEARCH,True,False
PHEV,True,False
NAV_OB_FUEL_FINDER,False,False
NAV_OB_PARKING_FINDER,False,False
VHS,True,False
CSL,True,False
EVNOT,False,False
CPPLUS,True,False
CNOW,False,False
DEEPREFRESH,True,False
CHRGSETTING,False,False
NAV_OB_ROUTE_DRM,False,False
SDV_DMN,False,False
NAVAUTH,False,False
ORP,False,False
COST9YP,False,False
COST9YT,False,False
COSTUGQ,False,False
COSTUGM,False,False
COSTUHN,False,False
COST07W,False,False
LASTMILE,False,False
DUMMY,True,True
NAV_OB_MOTA_WIFI,False,False
NAV_OB_MOTA_CELL,False,False
NAV_OB_MOTA_WIFI_CELL,False,False
ELECPAGES,False,False
WIFIP,False,False
ECOSERVICE,False,False
ALEXAVA,False,False
DASS,True,False
ECOCOACHINGR1,False,False
FLEET,False,False
MACMEDIAAPP,False,False
MYECHG,True,False
AOTACI,False,False
TA_SUP,True,False
SOSR1,False,False
ROPRECOND,False,False
EVROUT,False,False
CSL_NAV,False,False
MYCAR,False,False
G25CALL,False,False
ROC2,False,False
ADA_TBM,False,False
ECALLONLY,False,False
COST2PZ,False,False
TPPAGES,False,False
COSTUHL,False,False
COST1GK,False,False
CPA,False,False
TRIPREPORT,False,False
ADA_RADIOUSAGE,False,False
SVC_SCHEDULE,False,False
SVC_STATUS,False,False
ADA_FTD,False,False
ADA_HU,False,False
ADA_UBI,False,False
ADA_SQDF,False,False
ROTRUNKUNLOCK,False,False
ROCLRPERSDATA,True,True
RVS,False,False
ECOCOACHING20,False,False
FLEETENROLL,False,False
MOTA_MONTH,False,False
MOTA_TRIP,False,False
MOTA_CELL,False,False
MOTA_WIFI,False,False
TUTORIALS,False,False
ASOSBT,False,False
BRAND,False,False
BRANDBT,False,False
CARE,False,False
CAREBT,False,False
CCSEV,False,False
EVROUT1,False,False
NAV_OB_ROUTE_DRM15,True,False
ROAD,False,False
ROADBT,False,False
ROPRECOND_OFF,False,False
CPCHRG2,False,False
KIRIPHEV,True,False
ORPPLUS,False,False
PHEVON,False,False
CSEV,False,False
NFT,False,False
CPPLUSBEV,False,False
DUMMY2,True,False
SLI,True,True
NAV_OB_ROUTE_DRM20,False,False
DUMMY4,True,False
MYENT,False,False
INCARNAVADS,False,False
ADA_X250_DOORSSTS,False,False
ADA_X250_THERMCOND,False,False
ADA_X250_REMLEV,False,False
ADA_X250_PRIVACY,False,False
ADA_X250_GENSTS,False,False
ADA_X250_CRASHSTS,False,False
ADA_X250_MAINTSTS,False,False
ADA_X250_LOCATION,False,False
ADA_X250_QUALITY_ICE,False,False
ADA_X250_QUALITY_BEV,False,False
ADA_X250_USAGESTS,False,False
ADA_X250_ALTMEDIUM,False,False
ADA_X250_JDA,False,False
ADA_X250_ADAS,False,False
ADA_X250_OBFCM,False,False
DUMMY319APP,False,False
ADA_PLUS,False,False
IVWW,False,False
DUMMY3,False,False
